作品名,公開年
1964年6月7日,1965年8月31日
1966年4月23日,1967年3月24日
1969年1月6日,1970年10月26日
1969年10月5日,1970年12月27日
1971年10月24日,1972年3月26日
1972年4月5日,1973年3月28日
1973年3月2日,1973年9月28日
1973年10月7日,1974年9月29日
1974年1月6日,1974年12月29日
1975年1月5日,1975年12月28日
1976年1月4日,1976年12月26日
1977年1月2日,1977年12月25日
1977年10月3日,1980年10月6日
1978年4月4日,1978年10月31日
1979年1月7日,1979年12月30日
1980年10月3日,1981年9月25日
1984年11月6日,1985年5月20日
日本アニメ大賞,1984年
アニメグランプリ,1984年
星雲賞,1985年
毎日映画コンクール,1986年
ブルーリボン賞,1988年
報知映画賞,1988年
日本漫画家協会賞,1994年
芸術選奨,1989年
川喜多賞,2020年
バークレー日本賞,2009年
日本アカデミー賞,1997年
日刊スポーツ映画大賞,1992年
アニメーション神戸,1997年
文化庁メディア芸術祭,1997年
アイズナー賞,2014年
アニー賞,1998年
アカデミー賞,2003年
ニューヨーク映画批評家協会賞,2002年
ロサンゼルス映画批評家協会賞,2002年
放送映画批評家協会賞,2002年
英国アカデミー賞,2003年
ゴールデングローブ賞,2013年
ナショナル・ボード・オブ・レビュー賞,2002年
ザグレブ国際アニメーション映画祭,2004年
アヌシー国際アニメーション映画祭,1993年
ネビュラ賞,2007年
世界幻想文学大賞,2019年
サン・セバスティアン国際映画祭,2023年
ベルリン国際映画祭,2002年
ヴェネツィア国際映画祭,2005年
先代（新設）,二馬力社長1984年-
先代氏家齊一郎,徳間記念アニメーション文化財団理事長2011年-
先代（新設）,三鷹市立アニメーション美術館館主2001年-2021年
